spider man <>action<>adventure
spider man 3 <>action<>adventure
slumdog millionaire <>drama<> 
finding nemo <>animation<>adventure
happy feet <>animation<>comedy
man of steel <>action<>adventure
deadpool <>action<>adventure
zootopia <>animation<>adventure
rogue one <>action<>adventure
la la land <>comedy<>drama
passengers <>adventure<>drama
fences <>drama<> 
the martian <>adventure<>drama
love actually <>comedy<>drama
eat pray love <>drama<>romance
peter pan <>adventure<>family
broken flowers <>comedy<>drama
twister <>action<>adventure
twilight <>drama<>fantasy
star wars  episode vi   return of the jedi <>action<>adventure
gone girl <>crime<>drama
the holiday <>comedy<>romance
sherlock holmes  a game of shadows <>action<>adventure
the kite runner <>drama<> 
moneyball <>biography<>drama
sweet home alabama <>comedy<>romance
the devil wears prada <>comedy<>drama
miss congeniality <>action<>comedy
rush hour <>action<>comedy
the lord of the rings  the return of the king <>adventure<>drama
you ve got mail <>comedy<>drama
confessions of a shopaholic <>comedy<>family
pirates of the caribbean  at world s end <>action<>adventure
jurassic world <>action<>adventure
the day after tomorrow <>action<>adventure
la marche de l empereur <>documentary<> 
goodfellas <>biography<>crime
the matrix <>action<>sci-fi
interstellar <>adventure<>drama

